policy_id,roof_age,roof_vulnerability,dwelling_construction,water_loss_recency,prior_claims_5yr,coverage_a_amount,fire_station_distance,home_age,square_footage,iso_class,insurance_lapses,pet_ownership,swimming_pool,trampoline,wood_burning_stove,home_business,recent_renovations,monitored_alarm,fire_sprinklers,gated_community,wildfire_zone,canopy_density,flood_zone,foundation_type,slope_pct,burn_history,hail_zone,t3_slope_burn,t3_flood_foundation,t3_roof_age_wildfire,t3_trampoline_hail,t3_claims_wildfire,t3_firestation_slope,tier1_score,tier2_adjustment,tier3_multiplier,final_risk_score,decision,claim_frequency,claim_severity,expected_loss,expected_loss_formula
POL000026,11,slate,wood_frame,0,1,150000.0,5.2,14,5244,10,0,standard_pets,none,0,gas_fireplace,active_business,0,0,full,1,0,sparse,0,poured_concrete,11.3,0,0,0,0,0,0,0,0,42.0,-1.0,1.0,41.0,Standard,0.2,37508.0,2597.49,7501.6
POL000027,21,asphalt,masonry,0,1,750000.0,8.3,116,2327,6,0,none,none,0,none,none,0,0,none,0,0,moderate,0,concrete_slab,18.8,0,1,0,0,0,0,0,0,53.5,0.0,1.0,53.5,Standard,0.272,50954.0,12520.62,13859.49
POL000028,43,asphalt,brick_veneer,1,0,350000.0,13.2,78,2742,9,0,standard_pets,none,1,none,none,0,0,none,0,0,dense,0,concrete_slab,8.0,1,0,0,0,0,0,0,0,72.0,8.0,1.0,80.0,Rated,0.345,46824.0,30747.57,16154.28
POL000029,24,asphalt,brick_veneer,1,0,250000.0,2.5,115,5098,1,1,standard_pets,none,0,none,home_office,0,1,none,0,0,sparse,0,poured_concrete,1.0,0,0,0,0,0,0,0,0,63.5,4.0,1.0,67.5,Rated,0.269,58896.0,17670.37,15843.02
POL000030,26,tile,wood_frame,0,0,250000.0,2.8,25,6814,4,0,none,above_ground,0,wood_burning,none,0,0,none,0,1,moderate,0,concrete_slab,10.7,0,0,0,0,1,0,0,0,49.5,7.0,1.06,59.89,Standard,0.2725,75081.04,13700.94,20456.58
POL000031,41,tile,brick_veneer,0,0,1000000.0,18.5,102,6237,7,1,standard_pets,none,0,wood_burning,active_business,0,1,none,0,0,sparse,0,concrete_slab,5.0,0,0,0,0,0,0,0,0,58.5,11.0,1.0,69.5,Rated,0.263,81834.0,21137.31,21522.34
POL000032,27,asphalt,brick_veneer,0,0,500000.0,5.5,66,1358,10,3,dangerous_breed,above_ground,1,gas_fireplace,none,0,0,none,0,0,dense,0,block,12.1,0,1,0,0,0,1,0,0,53.0,26.0,1.03,81.37,Decline,0.4399,50971.68,18274.04,22422.44
POL000033,15,tile,brick_veneer,0,2,250000.0,9.5,80,954,9,0,standard_pets,above_ground,0,none,home_office,0,0,none,0,0,dense,0,concrete_slab,6.3,0,0,0,0,0,0,0,0,43.0,7.0,1.0,50.0,Standard,0.28,45108.0,7243.99,12630.24
POL000034,14,tile,masonry,0,0,1000000.0,1.3,93,1166,1,1,dangerous_breed,in_ground,0,none,none,0,1,none,0,0,moderate,1,block,1.3,0,0,0,0,0,0,0,0,32.5,14.0,1.0,46.5,Standard,0.173,56272.0,5079.7,9735.06
POL000035,43,tile,masonry,0,0,250000.0,1.9,60,5502,1,0,standard_pets,none,0,gas_fireplace,home_office,0,0,none,0,0,sparse,0,concrete_slab,2.4,1,0,0,0,0,0,0,0,42.5,5.0,1.0,47.5,Standard,0.194,41304.0,11869.9,8012.98
POL000036,2,asphalt,superior,1,0,500000.0,2.5,27,697,3,2,standard_pets,none,0,gas_fireplace,none,0,0,full,0,0,sparse,0,block,8.5,0,0,0,0,0,0,0,0,41.5,6.0,1.0,47.5,Standard,0.231,8254.0,4243.41,1906.67
POL000037,36,metal,brick_veneer,0,5,500000.0,1.9,33,3754,6,0,dangerous_breed,in_ground,1,none,none,0,0,none,0,0,sparse,0,concrete_slab,9.7,0,0,0,0,0,0,0,0,52.5,19.0,1.0,71.5,Rated,0.494,44948.0,19772.42,22204.31
POL000038,6,asphalt,superior,0,0,750000.0,10.8,15,6520,5,0,standard_pets,none,0,none,none,1,1,partial,0,1,dense,0,poured_concrete,29.7,0,0,0,0,0,0,0,1,36.5,-12.0,1.03,25.23,Preferred,0.0798,26084.8,552.16,2081.57
POL000039,20,asphalt,masonry,0,4,350000.0,3.6,42,6978,5,2,none,above_ground,0,none,home_office,0,1,full,0,0,sparse,0,concrete_slab,6.2,0,0,0,0,0,0,0,0,54.5,1.0,1.0,55.5,Standard,0.369,34016.0,26592.19,12551.9
POL000040,8,asphalt,wood_frame,0,0,350000.0,15.4,104,921,9,0,none,none,0,wood_burning,none,0,0,none,0,0,moderate,0,concrete_slab,11.0,0,1,0,0,0,0,0,0,51.0,4.0,1.0,55.0,Standard,0.257,65862.0,32103.39,16926.53
POL000041,38,asphalt,wood_frame,0,0,500000.0,1.9,10,3545,3,0,dangerous_breed,above_ground,0,none,active_business,1,1,none,0,0,moderate,0,block,10.3,0,0,0,0,0,0,0,0,59.5,4.0,1.0,63.5,Rated,0.212,53390.0,9855.01,11318.68
POL000042,17,metal,wood_frame,0,1,350000.0,0.5,23,3045,5,0,standard_pets,none,0,none,none,0,0,full,1,1,sparse,0,stone_dirt,2.6,0,0,0,0,0,0,1,0,40.5,-6.0,1.03,35.54,Standard,0.176,26384.4,6905.98,4642.6
POL000043,3,asphalt,wood_frame,0,1,150000.0,0.7,86,1289,7,0,standard_pets,none,0,none,none,1,0,none,0,0,dense,0,block,9.7,0,0,0,0,0,0,0,0,47.5,-3.0,1.0,44.5,Standard,0.216,44858.0,4656.93,9689.33
POL000044,24,tile,wood_frame,1,2,500000.0,1.2,24,4217,2,0,standard_pets,none,1,none,home_office,0,0,none,0,0,moderate,1,poured_concrete,0.1,0,0,0,0,0,0,0,0,63.5,9.0,1.0,72.5,Rated,0.41,49454.0,7442.83,20276.14
POL000045,13,asphalt,wood_frame,0,2,500000.0,5.1,100,3918,7,0,standard_pets,above_ground,0,none,active_business,0,1,none,0,0,sparse,0,concrete_slab,7.3,0,1,0,0,0,0,0,0,57.5,5.0,1.0,62.5,Rated,0.314,77136.0,51014.05,24220.7
POL000046,8,asphalt,brick_veneer,0,0,350000.0,1.0,76,4605,1,0,standard_pets,none,0,gas_fireplace,home_office,0,1,none,0,0,moderate,0,concrete_slab,29.4,0,1,0,0,0,0,0,0,38.5,0.0,1.0,38.5,Standard,0.123,52940.0,5750.66,6511.62
POL000047,25,metal,wood_frame,1,1,350000.0,2.4,18,4915,7,2,standard_pets,none,0,none,none,0,1,none,0,0,dense,0,stone_dirt,12.0,0,0,0,0,0,0,0,0,60.5,7.0,1.0,67.5,Rated,0.33,40070.0,11211.26,13223.1
POL000048,1,slate,wood_frame,0,1,350000.0,7.9,108,3309,2,0,dangerous_breed,none,0,none,active_business,0,0,partial,0,0,moderate,0,stone_dirt,8.5,0,0,0,0,0,0,0,0,42.5,8.0,1.0,50.5,Standard,0.241,60258.0,18102.6,14522.18
POL000049,19,asphalt,masonry,0,2,500000.0,0.7,33,5505,7,0,none,in_ground,0,none,none,1,1,none,0,0,dense,0,concrete_slab,4.8,0,0,0,0,0,0,0,0,46.5,-5.0,1.0,41.5,Standard,0.206,45250.0,4748.91,9321.5
POL000050,27,asphalt,masonry,1,0,500000.0,0.5,117,2104,3,0,standard_pets,none,0,none,none,0,0,none,0,1,moderate,0,concrete_slab,9.5,1,0,0,0,1,0,0,0,62.5,3.0,1.06,69.43,Rated,0.3215,58136.24,15101.8,18689.64
POL000051,6,asphalt,superior,1,0,750000.0,3.9,65,1341,5,0,standard_pets,none,0,gas_fireplace,none,0,1,none,0,1,sparse,0,poured_concrete,4.5,0,0,0,0,0,0,0,0,43.5,-1.0,1.0,42.5,Standard,0.191,34382.0,9252.49,6566.96
POL000052,43,asphalt,brick_veneer,0,1,500000.0,6.0,71,1867,9,0,none,none,0,gas_fireplace,none,1,0,full,0,1,sparse,1,concrete_slab,10.5,1,1,0,0,1,0,1,0,61.0,-12.0,1.0918,53.5,Standard,0.2695,36338.24,7127.0,9792.18
POL000053,7,slate,wood_frame,0,4,500000.0,12.1,4,3638,1,1,none,none,0,wood_burning,home_office,0,1,none,0,0,moderate,0,poured_concrete,10.1,0,0,0,0,0,0,0,0,44.5,5.0,1.0,49.5,Standard,0.365,51496.0,60294.93,18796.04
POL000054,34,slate,wood_frame,0,0,250000.0,5.4,74,1040,6,0,standard_pets,none,0,wood_burning,home_office,0,0,none,0,0,dense,0,concrete_slab,3.6,0,0,0,0,0,0,0,0,48.5,8.0,1.0,56.5,Standard,0.256,56700.0,29741.68,14515.2
POL000055,13,asphalt,wood_frame,0,0,250000.0,14.6,65,3365,7,0,none,in_ground,0,gas_fireplace,none,0,0,full,0,1,dense,1,concrete_slab,0.7,0,1,0,0,0,0,0,0,50.5,0.0,1.0,50.5,Standard,0.217,53730.0,14847.02,11659.41
POL000056,16,metal,wood_frame,0,0,500000.0,1.4,101,1888,10,0,standard_pets,none,1,gas_fireplace,none,0,1,none,0,1,moderate,0,block,6.8,0,1,0,0,0,1,0,0,40.0,4.0,1.03,45.32,Standard,0.2152,55896.48,12427.87,12027.8
POL000057,35,tile,wood_frame,0,2,250000.0,2.1,53,2390,9,0,none,in_ground,0,none,home_office,0,1,none,0,1,sparse,0,block,22.9,0,1,0,0,1,0,1,0,56.0,2.0,1.0918,63.32,Rated,0.3939,78681.46,17532.68,30995.65
POL000058,39,asphalt,superior,1,0,1500000.0,9.1,95,5551,4,0,none,none,0,wood_burning,none,0,1,none,0,0,moderate,0,concrete_slab,2.2,0,0,0,0,0,0,0,0,70.5,-1.0,1.0,69.5,Rated,0.256,64202.0,15247.18,16435.71
POL000059,3,asphalt,wood_frame,0,0,750000.0,8.3,23,2676,9,0,dangerous_breed,none,1,wood_burning,none,0,1,none,0,0,moderate,0,poured_concrete,1.1,0,0,0,0,0,0,0,0,46.0,12.0,1.0,58.0,Standard,0.243,57992.0,12613.44,14092.06
POL000060,1,tile,wood_frame,1,1,350000.0,5.5,75,1564,1,0,none,above_ground,0,none,none,0,0,none,0,0,sparse,0,poured_concrete,2.4,0,0,0,0,0,0,0,0,55.5,3.0,1.0,58.5,Standard,0.281,51628.0,22639.17,14507.47
POL000061,5,tile,wood_frame,0,0,350000.0,3.5,101,1025,4,0,standard_pets,none,0,none,none,0,0,none,0,0,moderate,0,poured_concrete,6.4,0,0,0,0,0,0,0,0,39.5,3.0,1.0,42.5,Standard,0.163,51730.0,21824.24,8431.99
POL000062,41,asphalt,brick_veneer,0,0,350000.0,0.5,79,1427,6,0,standard_pets,none,1,none,none,0,0,none,0,0,sparse,0,block,10.2,0,0,0,0,0,0,0,0,53.5,8.0,1.0,61.5,Rated,0.241,43574.0,14073.69,10501.33
POL000063,3,asphalt,wood_frame,1,0,500000.0,1.6,50,3070,7,0,none,none,0,none,home_office,1,0,none,0,0,sparse,0,poured_concrete,22.5,0,0,0,0,0,0,0,0,58.5,-5.0,1.0,53.5,Standard,0.217,47760.0,6839.68,10363.92
POL000064,28,asphalt,wood_frame,0,0,500000.0,0.9,23,6578,1,0,standard_pets,none,0,none,home_office,1,0,none,0,0,dense,1,concrete_slab,0.5,0,0,0,0,0,0,0,0,57.5,-2.0,1.0,55.5,Standard,0.204,51296.0,6481.87,10464.38
POL000065,17,slate,wood_frame,0,0,150000.0,0.5,49,3103,1,2,standard_pets,none,1,none,active_business,0,0,none,0,1,sparse,0,concrete_slab,0.6,0,0,0,0,0,0,0,0,37.5,21.0,1.0,58.5,Standard,0.292,55026.0,34764.35,16067.59
POL000066,25,asphalt,wood_frame,0,0,750000.0,7.5,104,6035,9,1,dangerous_breed,none,0,gas_fireplace,none,1,0,none,0,0,dense,0,poured_concrete,1.7,0,0,0,0,0,0,0,0,65.0,8.0,1.0,73.0,Rated,0.309,63590.0,15393.44,19649.31
POL000067,43,asphalt,wood_frame,0,0,500000.0,0.7,53,6668,7,2,none,none,0,wood_burning,none,0,0,none,0,0,moderate,0,block,6.5,0,1,0,0,0,0,0,0,62.5,13.0,1.0,75.5,Rated,0.331,69676.0,16331.77,23062.76
POL000068,33,slate,brick_veneer,0,2,150000.0,2.2,16,4309,9,0,standard_pets,in_ground,0,none,none,0,0,none,0,0,moderate,0,block,1.9,0,1,0,0,0,0,0,0,46.0,9.0,1.0,55.0,Standard,0.307,43798.0,5624.2,13445.99
POL000069,9,metal,wood_frame,0,0,350000.0,19.0,95,2467,5,3,standard_pets,none,0,none,home_office,1,0,partial,1,0,moderate,0,poured_concrete,10.7,0,0,0,0,0,0,0,0,36.5,1.0,1.0,37.5,Standard,0.221,37534.0,5406.97,8295.01
POL000070,35,metal,masonry,0,1,350000.0,2.6,83,4801,9,0,standard_pets,none,1,none,home_office,0,0,none,0,0,sparse,0,concrete_slab,15.1,0,0,0,0,0,0,0,0,44.0,9.0,1.0,53.0,Standard,0.284,39162.0,20862.99,11122.01
POL000071,13,asphalt,brick_veneer,0,0,250000.0,0.8,112,6336,5,0,standard_pets,above_ground,0,none,none,1,1,none,0,0,dense,1,poured_concrete,3.9,0,1,0,0,0,0,0,0,44.5,-5.0,1.0,39.5,Standard,0.111,58132.0,8310.25,6452.65
POL000072,30,asphalt,brick_veneer,0,0,250000.0,5.9,34,4844,6,0,standard_pets,none,0,none,none,0,0,none,0,0,sparse,0,poured_concrete,6.5,0,0,0,0,0,0,0,0,55.5,3.0,1.0,58.5,Standard,0.209,41308.0,4446.57,8633.37
POL000073,14,asphalt,wood_frame,0,3,150000.0,8.3,29,6407,8,1,standard_pets,none,0,none,none,1,0,none,0,0,dense,0,poured_concrete,1.3,0,0,0,0,0,0,0,0,57.0,2.0,1.0,59.0,Standard,0.351,44834.0,35000.51,15736.73
POL000074,7,asphalt,wood_frame,0,0,1000000.0,1.6,46,1926,9,2,dangerous_breed,in_ground,0,wood_burning,none,1,1,partial,0,0,dense,0,concrete_slab,28.6,0,1,0,0,0,0,0,0,47.0,12.0,1.0,59.0,Standard,0.256,63482.0,59211.1,16251.39
POL000075,13,metal,wood_frame,0,0,150000.0,8.3,41,5472,10,0,dangerous_breed,above_ground,0,none,none,0,0,partial,0,0,dense,0,poured_concrete,0.1,0,1,0,0,0,0,0,0,36.0,7.0,1.0,43.0,Standard,0.197,39924.0,4376.59,7865.03
POL000076,22,asphalt,brick_veneer,0,3,350000.0,1.6,21,6821,3,0,none,none,1,none,none,1,1,none,1,0,dense,0,block,0.8,0,1,0,0,0,1,0,0,56.5,-8.0,1.03,49.95,Standard,0.2873,42143.76,11441.39,12106.22
POL000077,39,asphalt,brick_veneer,1,1,250000.0,5.9,30,5592,2,0,standard_pets,none,0,none,none,0,0,full,0,0,moderate,0,block,0.2,0,0,0,0,0,0,0,0,72.5,-4.0,1.0,68.5,Rated,0.273,28084.0,9917.86,7666.93
POL000078,20,asphalt,wood_frame,0,2,500000.0,0.7,50,3470,5,0,standard_pets,above_ground,0,none,home_office,0,0,none,0,0,dense,1,poured_concrete,14.6,0,1,0,0,0,0,0,0,59.5,7.0,1.0,66.5,Rated,0.348,60240.0,46070.93,20963.52
POL000079,15,asphalt,brick_veneer,0,1,500000.0,2.8,36,6006,6,0,dangerous_breed,none,0,none,none,0,1,none,0,0,moderate,0,poured_concrete,3.7,1,0,0,0,0,0,0,0,50.5,3.0,1.0,53.5,Standard,0.175,46992.0,7081.63,8223.6
POL000080,44,slate,masonry,0,0,750000.0,3.7,87,6567,8,0,none,none,0,none,none,1,0,none,0,0,dense,0,poured_concrete,41.9,0,0,0,0,0,0,0,0,44.0,-6.0,1.0,38.0,Standard,0.148,42844.0,2596.44,6340.91
POL000081,17,asphalt,masonry,0,4,500000.0,6.5,87,5694,4,1,dangerous_breed,none,1,wood_burning,none,0,1,none,1,0,moderate,0,concrete_slab,1.5,1,0,0,0,0,0,0,0,54.5,15.0,1.0,69.5,Rated,0.447,59548.0,14773.97,26617.96
POL000082,23,asphalt,wood_frame,0,3,500000.0,5.2,12,690,1,0,none,in_ground,0,gas_fireplace,none,1,0,full,0,0,sparse,0,poured_concrete,0.2,0,1,0,0,0,0,0,0,61.5,-6.0,1.0,55.5,Standard,0.339,32340.0,14371.14,10963.26
POL000083,25,asphalt,brick_veneer,0,0,350000.0,9.6,88,994,4,0,standard_pets,above_ground,0,gas_fireplace,none,0,0,partial,0,1,moderate,0,concrete_slab,1.5,0,0,0,0,1,0,0,0,54.5,3.0,1.06,60.95,Rated,0.2633,49947.04,6516.21,13153.05
POL000084,24,asphalt,wood_frame,0,2,500000.0,1.0,30,5139,10,0,standard_pets,above_ground,1,none,none,1,0,none,0,0,moderate,0,poured_concrete,22.4,1,0,1,0,0,0,0,0,61.0,5.0,1.08,71.28,Rated,0.4283,60753.56,85708.33,26023.18
POL000085,44,asphalt,brick_veneer,0,0,250000.0,5.4,99,2678,8,2,dangerous_breed,none,0,gas_fireplace,home_office,0,0,none,0,0,moderate,1,block,11.5,0,1,0,0,0,0,0,0,57.0,19.0,1.0,76.0,Rated,0.359,53176.0,8719.21,19090.18
POL000086,40,tile,wood_frame,1,1,500000.0,0.7,13,5897,2,0,standard_pets,none,0,wood_burning,home_office,0,0,none,0,1,sparse,1,poured_concrete,11.0,1,0,0,0,1,0,1,0,70.5,8.0,1.0918,85.71,Decline,0.4423,80075.65,40444.36,35415.41
POL000087,28,tile,wood_frame,0,0,250000.0,3.3,116,6035,10,0,dangerous_breed,none,0,none,none,0,1,none,0,0,sparse,1,block,9.2,0,0,0,0,0,0,0,0,54.0,3.0,1.0,57.0,Standard,0.225,64650.0,14521.38,14546.25
POL000088,14,tile,masonry,0,1,750000.0,3.7,83,1583,8,0,standard_pets,above_ground,0,gas_fireplace,none,1,0,none,0,0,sparse,0,poured_concrete,0.8,0,0,0,0,0,0,0,0,37.0,1.0,1.0,38.0,Standard,0.193,37106.0,5783.2,7161.46
POL000089,44,metal,brick_veneer,0,0,350000.0,0.5,38,4501,4,0,none,none,0,none,none,0,0,none,0,0,sparse,0,stone_dirt,1.9,0,0,0,0,0,0,0,0,41.5,0.0,1.0,41.5,Standard,0.135,34542.0,9935.67,4663.17
POL000090,0,metal,wood_frame,1,1,350000.0,0.5,91,6398,2,0,none,none,1,none,none,0,0,none,0,0,dense,0,block,34.1,1,1,1,0,0,1,0,0,50.5,5.0,1.1124,61.74,Rated,0.364,75137.46,17171.72,27348.74
POL000091,24,metal,wood_frame,0,0,500000.0,9.1,88,1498,4,0,none,none,0,wood_burning,active_business,0,1,full,1,0,sparse,0,poured_concrete,4.2,0,0,0,0,0,0,0,0,43.5,-6.0,1.0,37.5,Standard,0.163,53336.0,4070.87,8693.77
POL000092,6,asphalt,brick_veneer,0,0,500000.0,1.7,37,1553,1,1,none,none,0,none,none,0,0,none,0,0,dense,0,stone_dirt,10.6,0,0,0,0,0,0,0,0,37.5,5.0,1.0,42.5,Standard,0.154,39066.0,4475.26,6016.16
POL000093,8,asphalt,masonry,0,1,350000.0,2.1,106,3739,10,2,dangerous_breed,none,0,none,none,0,1,full,0,0,sparse,1,poured_concrete,24.9,0,0,0,0,0,0,0,0,43.0,5.0,1.0,48.0,Standard,0.234,34378.0,7149.05,8044.45
POL000094,23,asphalt,brick_veneer,0,3,350000.0,5.1,74,1690,7,0,standard_pets,none,0,none,none,0,0,full,0,0,sparse,0,concrete_slab,8.4,0,0,0,0,0,0,0,0,58.5,-4.0,1.0,54.5,Standard,0.329,29200.0,17588.0,9606.8
POL000095,0,metal,superior,0,0,350000.0,1.2,17,4251,3,0,dangerous_breed,none,0,gas_fireplace,none,0,0,none,0,1,moderate,0,concrete_slab,3.6,0,0,0,0,0,0,0,0,16.5,9.0,1.0,25.5,Preferred,0.133,19062.0,1220.88,2535.25
POL000096,43,metal,wood_frame,0,3,250000.0,1.1,38,785,4,0,standard_pets,none,0,none,none,0,0,none,0,0,dense,0,concrete_slab,9.2,0,0,0,0,0,0,0,0,51.5,3.0,1.0,54.5,Standard,0.334,33710.0,11275.36,11259.14
POL000097,7,metal,brick_veneer,0,0,250000.0,2.7,82,6820,3,1,dangerous_breed,none,0,none,none,0,1,partial,0,0,dense,1,concrete_slab,2.0,0,0,0,0,0,0,0,0,25.5,4.0,1.0,29.5,Preferred,0.109,39900.0,5006.61,4349.1
